OTU,Kingdom,Phylum,Class,Order,Lineage,Clade
Otu0816,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,unclassified
Otu0817,Bacteria,OP8,OP8_2,unclassified,unclassified,unclassified
Otu0818,Bacteria,Cyanobacteria,4C0d-2,YS2,unclassified,unclassified
Otu0819,Bacteria,TM6,F38,unclassified,unclassified,unclassified
Otu0820,Bacteria,Cyanobacteria,Chloroplast,Chlorophyta,Trebouxiophyceae,unclassified
Otu0821,Bacteria,Cyanobacteria,4C0d-2,MLE1-12,unclassified,unclassified
Otu0822,Bacteria,Proteobacteria,Betaproteobacteria,unclassified,unclassified,unclassified
Otu0823,Bacteria,TM7,SC3,unclassified,unclassified,unclassified
Otu0824,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,unclassified
Otu0826,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,gamII,gamII-A
Otu0827,Bacteria,Armatimonadetes,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,Fimbriimonas
Otu0828,Bacteria,OP3,BD4-9,unclassified,unclassified,unclassified
Otu0829,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ethanoligenens
Otu0830,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,CandidatusSolibacter
Otu0831,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus
Otu0832,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,unclassified
Otu0833,Bacteria,WS3,PRR-12,PBS-III-9,unclassified,unclassified
Otu0834,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,unclassified
Otu0835,Bacteria,Proteobacteria,Betaproteobacteria,unclassified,unclassified,unclassified
Otu0837,Bacteria,OP3,koll11,GIF10,unclassified,unclassified
Otu0838,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,unclassified
Otu0839,Bacteria,Spirochaetes,Spirochaetes,Spirochaetales,Spirochaetaceae,Treponema
Otu0840,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,unclassified,unclassified
Otu0842,Bacteria,Verrucomicrobia,Pedosphaerae,Pedosphaerales,Ellin515,unclassified
Otu0843,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified,unclassified
Otu0844,Bacteria,Proteobacteria,Betaproteobacteria,unclassified,unclassified,unclassified
Otu0845,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,unclassified,unclassified
Otu0846,Bacteria,Proteobacteria,Betaproteobacteria,unclassified,unclassified,unclassified
Otu0848,Bacteria,Acidobacteria,Solibacteres,Solibacterales,unclassified,unclassified
Otu0849,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,OM27,unclassified
Otu0850,Bacteria,Cyanobacteria,Synechococcophycideae,Synechococcales,Synechococcaceae,unclassified
Otu0852,Archaea,Parvarchaeota,Parvarchaea,WCHD3-30,unclassified,unclassified
Otu0854,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,unclassified
Otu0855,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,unclassified
Otu0856,Bacteria,Proteobacteria,Gammaproteobacteria,unclassified,unclassified,unclassified
Otu0857,Bacteria,Verrucomicrobia,Pedosphaerae,Pedosphaerales,unclassified,unclassified
Otu0858,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,unclassified
Otu0859,Bacteria,OD1,ZB2,unclassified,unclassified,unclassified
Otu0860,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,unclassified
Otu0861,Bacteria,GN02,unclassified,unclassified,unclassified,unclassified
Otu0862,Bacteria,Proteobacteria,Betaproteobacteria,Procabacteriales,Procabacteriaceae,unclassified
Otu0863,Bacteria,Planctomycetes,Phycisphaerae,unclassified,unclassified,unclassified
Otu0864,Bacteria,OD1,ZB2,unclassified,unclassified,unclassified
Otu0865,Bacteria,TM7,SC3,unclassified,unclassified,unclassified
Otu0866,Bacteria,TM7,TM7-1,unclassified,unclassified,unclassified
Otu0867,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified,unclassified
Otu0868,Bacteria,Proteobacteria,Deltaproteobacteria,MIZ46,unclassified,unclassified
Otu0869,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,unclassified,unclassified
Otu0870,Bacteria,Cyanobacteria,Chloroplast,unclassified,unclassified,unclassified
Otu0872,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herminiimonas
Otu0874,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,bacI,unclassified
Otu0875,Bacteria,OP3,unclassified,unclassified,unclassified,unclassified
Otu0876,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Syntrophus
Otu0877,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Rhabdochlamydiaceae,CandidatusRhabdochlamydia
Otu0878,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,unclassified
Otu0879,Bacteria,Verrucomicrobia,Pedosphaerae,Pedosphaerales,auto67_4W,unclassified
Otu0880,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Crenotrichaceae,Crenothrix
Otu0881,Bacteria,Bacteroidetes,unclassified,unclassified,unclassified,unclassified
Otu0883,Bacteria,WS5,unclassified,unclassified,unclassified,unclassified
Otu0885,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,unclassified
Otu0886,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,unclassified
Otu0887,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified,unclassified
Otu0888,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,unclassified
Otu0889,Bacteria,OD1,ZB2,unclassified,unclassified,unclassified
Otu0890,Bacteria,Proteobacteria,Alphaproteobacteria,unclassified,unclassified,unclassified
Otu0891,Bacteria,Proteobacteria,Gammaproteobacteria,unclassified,unclassified,unclassified
Otu0892,Bacteria,Verrucomicrobia,Methylacidiphilae,S-BQ2-57,unclassified,unclassified
Otu0894,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,unclassified
Otu0895,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,CandidatusXiphinematobacter
Otu0896,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,unclassified
Otu0897,Bacteria,Cyanobacteria,4C0d-2,YS2,unclassified,unclassified
Otu0898,Bacteria,Cyanobacteria,unclassified,unclassified,unclassified,unclassified
Otu0899,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified,unclassified
Otu0900,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,unclassified,unclassified
Otu0901,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,unclassified
Otu0902,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified,unclassified
Otu0903,Bacteria,WS3,PRR-12,PBS-III-9,unclassified,unclassified
Otu0904,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,unclassified
Otu0905,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified
Otu0906,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,unclassified
Otu0907,Bacteria,Proteobacteria,Deltaproteobacteria,MIZ46,unclassified,unclassified
Otu0908,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
Otu0909,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,unclassified
Otu0910,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,CandidatusSolibacter
Otu0911,Bacteria,OD1,unclassified,unclassified,unclassified,unclassified
Otu0912,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,0319-6G20,unclassified
Otu0913,Bacteria,OD1,ABY1,unclassified,unclassified,unclassified
Otu0914,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia
Otu0915,Bacteria,OP3,BD4-9,unclassified,unclassified,unclassified
Otu0916,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,unclassified,unclassified
Otu0917,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,unclassified
Otu0918,Bacteria,Verrucomicrobia,Pedosphaerae,Pedosphaerales,unclassified,unclassified
Otu0919,Bacteria,Bacteroidetes,unclassified,unclassified,unclassified,unclassified
Otu0920,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,alfVIII,unclassified
Otu0921,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,unclassified,unclassified
Otu0922,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,unclassified
Otu0923,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,bacI,bacI-A
Otu0924,Archaea,Parvarchaeota,Parvarchaea,WCHD3-30,unclassified,unclassified
Otu0925,Bacteria,Elusimicrobia,Elusimicrobia,Elusimicrobiales,unclassified,unclassified
Otu0926,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,unclassified
Otu0927,Bacteria,OP3,BD4-9,unclassified,unclassified,unclassified
Otu0928,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,acI,acI-A
Otu0929,Bacteria,Chlorobi,SJA-28,unclassified,unclassified,unclassified
Otu0930,Bacteria,Proteobacteria,Deltaproteobacteria,unclassified,unclassified,unclassified
Otu0931,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus
Otu0932,Bacteria,Proteobacteria,Deltaproteobacteria,unclassified,unclassified,unclassified
Otu0933,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,unclassified,unclassified
Otu0934,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,unclassified
Otu0935,Bacteria,OD1,unclassified,unclassified,unclassified,unclassified
Otu0938,Bacteria,Proteobacteria,Deltaproteobacteria,unclassified,unclassified,unclassified
Otu0939,Bacteria,Cyanobacteria,unclassified,unclassified,unclassified,unclassified
Otu0940,Bacteria,OP3,koll11,GIF10,unclassified,unclassified
Otu0941,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,unclassified
Otu0942,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Janibacter
Otu0943,Bacteria,Proteobacteria,Deltaproteobacteria,unclassified,unclassified,unclassified
Otu0945,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0946,Bacteria,TM6,SJA-4,unclassified,unclassified,unclassified
Otu0947,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,CandidatusXiphinematobacter
Otu0948,Bacteria,TM6,SJA-4,S1198,unclassified,unclassified
Otu0949,Bacteria,Armatimonadetes,SJA-176,RB046,unclassified,unclassified
Otu0950,Bacteria,Proteobacteria,Deltaproteobacteria,MIZ46,unclassified,unclassified
Otu0951,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter
Otu0952,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,unclassified
Otu0953,Bacteria,OP3,BD4-9,unclassified,unclassified,unclassified
Otu0954,Bacteria,Elusimicrobia,Elusimicrobia,unclassified,unclassified,unclassified
Otu0955,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis
Otu0957,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
Otu0958,Bacteria,Armatimonadetes,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,Fimbriimonas
Otu0959,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified,unclassified
Otu0960,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Telmatospirillum
Otu0961,Bacteria,Proteobacteria,Alphaproteobacteria,unclassified,unclassified,unclassified
Otu0962,Bacteria,OP3,BD4-9,unclassified,unclassified,unclassified
Otu0963,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,unclassified
Otu0964,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,unclassified,unclassified
Otu0966,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,unclassified,unclassified
Otu0968,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,unclassified
Otu0969,Archaea,Parvarchaeota,Parvarchaea,WCHD3-30,unclassified,unclassified
Otu0970,Bacteria,Actinobacteria,Thermoleophilia,unclassified,unclassified,unclassified
Otu0971,Bacteria,SR1,unclassified,unclassified,unclassified,unclassified
Otu0972,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu0973,Bacteria,Proteobacteria,Deltaproteobacteria,unclassified,unclassified,unclassified
Otu0974,Bacteria,Lentisphaerae,Lentisphaeria,Victivallales,Victivallaceae,unclassified
Otu0975,Archaea,Parvarchaeota,Parvarchaea,WCHD3-30,unclassified,unclassified
Otu0976,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,CandidatusSolibacter
Otu0978,Bacteria,Planctomycetes,Phycisphaerae,WD2101,unclassified,unclassified
Otu0979,Bacteria,OD1,ZB2,unclassified,unclassified,unclassified
Otu0980,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,unclassified
Otu0981,Bacteria,Chloroflexi,unclassified,unclassified,unclassified,unclassified
Otu0983,Bacteria,Verrucomicrobia,Pedosphaerae,Pedosphaerales,unclassified,unclassified
Otu0984,Bacteria,Verrucomicrobia,unclassified,unclassified,unclassified,unclassified
Otu0986,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Rhabdochlamydiaceae,CandidatusRhabdochlamydia
Otu0987,Bacteria,TM6,SJA-4,unclassified,unclassified,unclassified
Otu0988,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Rhabdochlamydiaceae,CandidatusRhabdochlamydia
Otu0990,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified
Otu0991,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified,unclassified
Otu0992,Bacteria,Spirochaetes,Spirochaetes,Spirochaetales,Spirochaetaceae,Spirochaeta
Otu0993,Bacteria,Verrucomicrobia,Pedosphaerae,Pedosphaerales,auto67_4W,unclassified
Otu0994,Bacteria,TM7,SC3,unclassified,unclassified,unclassified
Otu0995,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,unclassified
Otu0998,Bacteria,OD1,ZB2,unclassified,unclassified,unclassified
Otu0999,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,unclassified
Otu1000,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,CandidatusRhodoluna
Otu1002,Bacteria,OD1,ZB2,unclassified,unclassified,unclassified
Otu1003,Bacteria,Actinobacteria,OPB41,unclassified,unclassified,unclassified
Otu1004,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Patulibacteraceae,Patulibacter
Otu1006,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,unclassified
Otu1007,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified
Otu1008,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylocaldum
Otu1009,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,unclassified,unclassified
Otu1010,Bacteria,TM6,SBRH58,unclassified,unclassified,unclassified
Otu1011,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu1012,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Caloramator
Otu1013,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,acI,acI-B
Otu1014,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,unclassified
Otu1015,Bacteria,Proteobacteria,Betaproteobacteria,unclassified,unclassified,unclassified
Otu1016,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Crenotrichaceae,Crenothrix
Otu1017,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus
Otu1019,Archaea,Parvarchaeota,Parvarchaea,YLA114,unclassified,unclassified
Otu1021,Bacteria,OP3,PBS-25,unclassified,unclassified,unclassified
Otu1022,Bacteria,Cyanobacteria,4C0d-2,MLE1-12,unclassified,unclassified
Otu1023,Bacteria,TM6,SJA-4,unclassified,unclassified,unclassified
Otu1024,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosovibrio
Otu1025,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,unclassified
Otu1026,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,211ds20,unclassified
Otu1027,Bacteria,Cyanobacteria,Chloroplast,unclassified,unclassified,unclassified
Otu1028,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,unclassified,unclassified
Otu1029,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified
Otu1030,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium
Otu1031,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,betIV,unclassified
Otu1032,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,unclassified,unclassified
Otu1033,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,acTH2,Myco
Otu1034,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,unclassified
Otu1035,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,unclassified
Otu1036,Bacteria,Cyanobacteria,4C0d-2,YS2,unclassified,unclassified
Otu1037,Bacteria,Armatimonadetes,SJA-176,GAB-B06,unclassified,unclassified
Otu1038,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Luna1,Luna1-A
Otu1039,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,unclassified
Otu1040,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Chromobacterium
Otu1041,Bacteria,Cyanobacteria,Chloroplast,Chlorophyta,unclassified,unclassified
Otu1042,Bacteria,Proteobacteria,Deltaproteobacteria,NKB15,unclassified,unclassified
Otu1043,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,unclassified,unclassified
Otu1044,Bacteria,Proteobacteria,Deltaproteobacteria,NKB15,unclassified,unclassified
Otu1045,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,unclassified,unclassified
Otu1046,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,unclassified
Otu1047,Bacteria,Proteobacteria,Alphaproteobacteria,Ellin329,unclassified,unclassified
Otu1049,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,unclassified
Otu1050,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Polynucleobacter
Otu1052,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,Nevskia
Otu1053,Bacteria,Chlorobi,BSV26,PK329,unclassified,unclassified
Otu1054,Bacteria,Verrucomicrobia,Verruco-5,WCHB1-41,unclassified,unclassified
Otu1055,Bacteria,Cyanobacteria,4C0d-2,MLE1-12,unclassified,unclassified
Otu1056,Bacteria,TM6,unclassified,unclassified,unclassified,unclassified
Otu1057,Bacteria,Chlorobi,BSV26,C20,unclassified,unclassified
Otu1058,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,unclassified
Otu1059,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,unclassified,unclassified
Otu1060,Bacteria,OP11,OP11-3,unclassified,unclassified,unclassified
Otu1061,Bacteria,WS4,unclassified,unclassified,unclassified,unclassified
Otu1062,Bacteria,Proteobacteria,Betaproteobacteria,unclassified,unclassified,unclassified
Otu1063,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,unclassified,unclassified
Otu1064,Bacteria,Bacteroidetes,unclassified,unclassified,unclassified,unclassified
Otu1065,Bacteria,Proteobacteria,Betaproteobacteria,unclassified,unclassified,unclassified
Otu1066,Bacteria,OP3,koll11,GIF10,kpj58rc,unclassified
Otu1067,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,unclassified
Otu1068,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophorhabdaceae,unclassified
Otu1069,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu1070,Bacteria,WS3,PRR-12,Sediment-1,PRR-10,unclassified
Otu1073,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,unclassified,unclassified
Otu1074,Bacteria,OP11,OP11-4,unclassified,unclassified,unclassified
Otu1075,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis
Otu1076,Bacteria,Proteobacteria,Alphaproteobacteria,unclassified,unclassified,unclassified
Otu1077,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Paludibacter
Otu1078,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,unclassified
Otu1079,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu1080,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,unclassified,unclassified
Otu1081,Bacteria,Proteobacteria,Alphaproteobacteria,unclassified,unclassified,unclassified
Otu1082,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,unclassified
Otu1084,Bacteria,TM6,SJA-4,unclassified,unclassified,unclassified
Otu1085,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,unclassified
Otu1086,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Otu1087,Bacteria,Bacteroidetes,At12OctB3,unclassified,unclassified,unclassified
Otu1088,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Rhabdochlamydiaceae,CandidatusRhabdochlamydia
Otu1089,Bacteria,Bacteroidetes,unclassified,unclassified,unclassified,unclassified
Otu1090,Bacteria,Proteobacteria,Betaproteobacteria,Tremblayales,unclassified,unclassified
Otu1091,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,unclassified
Otu1092,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,unclassified,unclassified
Otu1093,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,unclassified
Otu1094,Bacteria,OD1,ZB2,unclassified,unclassified,unclassified
Otu1095,Bacteria,SR1,unclassified,unclassified,unclassified,unclassified
Otu1096,Bacteria,Proteobacteria,Alphaproteobacteria,unclassified,unclassified,unclassified
Otu1097,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Telmatospirillum
Otu1098,Bacteria,Armatimonadetes,SJA-176,RB046,unclassified,unclassified
Otu1099,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,alfVII,unclassified
Otu1100,Bacteria,TM6,SBRH58,unclassified,unclassified,unclassified
Otu1101,Bacteria,Spirochaetes,Spirochaetes,Spirochaetales,Spirochaetaceae,Spirochaeta
Otu1102,Bacteria,OP3,koll11,GIF10,unclassified,unclassified
Otu1103,Bacteria,Bacteroidetes,unclassified,unclassified,unclassified,unclassified
Otu1104,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus
Otu1105,Archaea,Parvarchaeota,Parvarchaea,WCHD3-30,unclassified,unclassified
Otu1106,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,unclassified
Otu1107,Bacteria,Cyanobacteria,Chloroplast,unclassified,unclassified,unclassified
Otu1108,Bacteria,Bacteroidetes,unclassified,unclassified,unclassified,unclassified
Otu1109,Bacteria,Verrucomicrobia,Verruco-5,unclassified,unclassified,unclassified
Otu1110,Bacteria,Proteobacteria,Betaproteobacteria,unclassified,unclassified,unclassified
Otu1111,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,unclassified
Otu1112,Bacteria,Spirochaetes,Spirochaetes,Spirochaetales,Spirochaetaceae,Treponema
Otu1113,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,acV,acV-A
Otu1114,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,unclassified,unclassified
Otu1115,Bacteria,Proteobacteria,Alphaproteobacteria,unclassified,unclassified,unclassified
Otu1116,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,unclassified
Otu1117,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Sulfurospirillum
Otu1118,Archaea,Parvarchaeota,Parvarchaea,WCHD3-30,unclassified,unclassified
Otu1119,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,CandidatusSolibacter
Otu1120,Bacteria,Cyanobacteria,Synechococcophycideae,Synechococcales,Synechococcaceae,Synechococcus
Otu1121,Bacteria,Fibrobacteres,TG3,unclassified,unclassified,unclassified
Otu1123,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,unclassified,unclassified
Otu1124,Bacteria,TM6,SJA-4,unclassified,unclassified,unclassified
Otu1125,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Terracoccus
Otu1126,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas
Otu1127,Bacteria,Proteobacteria,Deltaproteobacteria,unclassified,unclassified,unclassified
Otu1128,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,CandidatusSolibacter
Otu1129,Bacteria,OD1,ZB2,unclassified,unclassified,unclassified
Otu1130,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Telmatospirillum
Otu1131,Bacteria,Chloroflexi,Anaerolineae,unclassified,unclassified,unclassified
Otu1132,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,unclassified,unclassified
Otu1133,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,unclassified
Otu1135,Bacteria,Bacteroidetes,unclassified,unclassified,unclassified,unclassified
Otu1136,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,unclassified
Otu1137,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,alfII,alfII-A
Otu1138,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Paludibacter
Otu1140,Bacteria,OP11,OP11-3,unclassified,unclassified,unclassified
Otu1141,Bacteria,Proteobacteria,Gammaproteobacteria,unclassified,unclassified,unclassified
Otu1142,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,unclassified,unclassified
Otu1143,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,unclassified,unclassified
