OTU,Kingdom,Phylum,Class,Order,Lineage,Clade
Otu3245,Bacteria,Chlorobi,OPB56,unclassified,unclassified,unclassified
Otu3247,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,unclassified
Otu3248,Bacteria,OD1,unclassified,unclassified,unclassified,unclassified
Otu3249,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,unclassified
Otu3250,Bacteria,Chloroflexi,Dehalococcoidetes,Dehalococcoidales,unclassified,unclassified
Otu3251,Bacteria,NKB19,unclassified,unclassified,unclassified,unclassified
Otu3252,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Rhabdochlamydiaceae,CandidatusRhabdochlamydia
Otu3253,Bacteria,Cyanobacteria,Chloroplast,Chlorophyta,unclassified,unclassified
Otu3255,Bacteria,OP3,unclassified,unclassified,unclassified,unclassified
Otu3256,Archaea,Parvarchaeota,Micrarchaea,Micrarchaeles,unclassified,unclassified
Otu3258,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,unclassified,unclassified
Otu3260,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,unclassified,unclassified
Otu3262,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,unclassified,unclassified
Otu3263,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,unclassified
Otu3264,Bacteria,OD1,unclassified,unclassified,unclassified,unclassified
Otu3265,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,unclassified
Otu3267,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,unclassified,unclassified
Otu3268,Bacteria,Proteobacteria,Alphaproteobacteria,Ellin329,unclassified,unclassified
Otu3270,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Desulfobacca
Otu3271,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,unclassified,unclassified
Otu3272,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,unclassified,unclassified
Otu3273,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,unclassified
Otu3275,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,unclassified
Otu3276,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,unclassified,unclassified
Otu3279,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,unclassified
Otu3280,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu3281,Bacteria,TM6,unclassified,unclassified,unclassified,unclassified
Otu3282,Bacteria,OD1,ZB2,unclassified,unclassified,unclassified
Otu3283,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,unclassified,unclassified
Otu3284,Bacteria,TM6,SJA-4,unclassified,unclassified,unclassified
Otu3285,Archaea,Parvarchaeota,Parvarchaea,WCHD3-30,unclassified,unclassified
Otu3288,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,unclassified,unclassified
Otu3290,Bacteria,TM6,unclassified,unclassified,unclassified,unclassified
Otu3291,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Edaphobacter
Otu3292,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,unclassified
Otu3294,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,unclassified
Otu3295,Bacteria,TM6,SBRH58,unclassified,unclassified,unclassified
Otu3298,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,unclassified
Otu3299,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,unclassified
Otu3300,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,unclassified
Otu3301,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,unclassified
Otu3302,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Otu3304,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified,unclassified
Otu3305,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,acI,acI-B
Otu3306,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,unclassified,unclassified
Otu3307,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,unclassified
Otu3308,Bacteria,OD1,ZB2,unclassified,unclassified,unclassified
Otu3309,Bacteria,Cyanobacteria,Chloroplast,Streptophyta,unclassified,unclassified
Otu3311,Bacteria,Bacteroidetes,unclassified,unclassified,unclassified,unclassified
Otu3312,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,unclassified,unclassified
Otu3314,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,unclassified
Otu3315,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,unclassified,unclassified
Otu3316,Bacteria,Chlamydiae,Chlamydiia,unclassified,unclassified,unclassified
Otu3317,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,unclassified,unclassified
Otu3318,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,unclassified
Otu3319,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,unclassified
Otu3320,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,unclassified
