OTU,Day,Month,Year,value
Otu1438,3,6,2005,2
Otu1554,3,6,2005,2
Otu1590,3,6,2005,3
Otu1680,3,6,2005,42
Otu1724,3,6,2005,3
Otu1733,3,6,2005,3
Otu1748,3,6,2005,33
Otu1977,3,6,2005,2
Otu1994,3,6,2005,5
Otu2013,3,6,2005,2
Otu2112,3,6,2005,2
Otu3028,3,6,2005,6
Otu3174,3,6,2005,2
Otu3305,3,6,2005,9
Otu3367,3,6,2005,2
Otu3391,3,6,2005,6
Otu3574,3,6,2005,2
Otu3642,3,6,2005,2
Otu3919,3,6,2005,2
Otu3949,3,6,2005,2
Otu4550,3,6,2005,2
Otu4584,3,6,2005,7
Otu4605,3,6,2005,5
Otu4686,3,6,2005,4
Otu4698,3,6,2005,2
Otu4834,3,6,2005,2
Otu4868,3,6,2005,2
Otu5128,3,6,2005,2
Otu5162,3,6,2005,18
Otu5292,3,6,2005,10
Otu5317,3,6,2005,3
Otu5445,3,6,2005,7
Otu5783,3,6,2005,4
Otu5851,3,6,2005,66
Otu6070,3,6,2005,4
Otu6102,3,6,2005,33
Otu6166,3,6,2005,2
Otu0001,5,8,2005,6
Otu0002,5,8,2005,23
Otu0003,5,8,2005,7
Otu0005,5,8,2005,6
Otu0007,5,8,2005,3
Otu0013,5,8,2005,4
Otu0014,5,8,2005,14
Otu0015,5,8,2005,2
Otu0021,5,8,2005,9
Otu0028,5,8,2005,9
Otu0029,5,8,2005,5
Otu0032,5,8,2005,6
Otu0042,5,8,2005,3
Otu0044,5,8,2005,4
Otu0046,5,8,2005,2
Otu0047,5,8,2005,3
Otu0052,5,8,2005,4
Otu0053,5,8,2005,145
Otu0055,5,8,2005,44
Otu0056,5,8,2005,7
Otu0058,5,8,2005,13
Otu0059,5,8,2005,8
Otu0060,5,8,2005,18
Otu0072,5,8,2005,38
Otu0073,5,8,2005,4
Otu0074,5,8,2005,8
Otu0076,5,8,2005,43
Otu0081,5,8,2005,131
Otu0088,5,8,2005,2
Otu0097,5,8,2005,204
Otu0101,5,8,2005,2
Otu0105,5,8,2005,21
Otu0107,5,8,2005,3
Otu0108,5,8,2005,44
Otu0109,5,8,2005,22
Otu0122,5,8,2005,11
Otu0130,5,8,2005,3
Otu0131,5,8,2005,2
Otu0136,5,8,2005,3
Otu0143,5,8,2005,5
Otu0154,5,8,2005,2
Otu0179,5,8,2005,2
Otu0180,5,8,2005,274
Otu0181,5,8,2005,3
Otu0182,5,8,2005,3
Otu0184,5,8,2005,49
Otu0189,5,8,2005,106
Otu0198,5,8,2005,23
Otu0199,5,8,2005,6
Otu0209,5,8,2005,2
Otu0218,5,8,2005,22
Otu0223,5,8,2005,5
Otu0224,5,8,2005,4
Otu0230,5,8,2005,15
Otu0238,5,8,2005,5
Otu0244,5,8,2005,2
Otu0252,5,8,2005,15
Otu0272,5,8,2005,13
Otu0282,5,8,2005,8
Otu0290,5,8,2005,7
Otu0293,5,8,2005,3
Otu0297,5,8,2005,2
Otu0324,5,8,2005,2
Otu0331,5,8,2005,7
Otu0338,5,8,2005,82
Otu0370,5,8,2005,3
Otu0386,5,8,2005,2
Otu0390,5,8,2005,2
Otu0394,5,8,2005,13
Otu0407,5,8,2005,128
Otu0443,5,8,2005,16
Otu0456,5,8,2005,6
Otu0472,5,8,2005,19
Otu0485,5,8,2005,3
Otu0488,5,8,2005,8
Otu0495,5,8,2005,2
Otu0498,5,8,2005,8
Otu0525,5,8,2005,2
Otu0535,5,8,2005,6
Otu0560,5,8,2005,10
Otu0584,5,8,2005,3
Otu0595,5,8,2005,35
Otu0601,5,8,2005,5
Otu0606,5,8,2005,44
Otu0678,5,8,2005,64
Otu0679,5,8,2005,3
Otu0687,5,8,2005,2
Otu0726,5,8,2005,4
Otu0795,5,8,2005,4
Otu0813,5,8,2005,30
Otu0879,5,8,2005,3
Otu0918,5,8,2005,3
Otu0990,5,8,2005,8
Otu1031,5,8,2005,5
Otu1046,5,8,2005,2
Otu1107,5,8,2005,18
Otu1136,5,8,2005,2
Otu1180,5,8,2005,10
Otu1183,5,8,2005,9
Otu1194,5,8,2005,8
Otu1202,5,8,2005,2
Otu1206,5,8,2005,2
Otu1211,5,8,2005,8
Otu1231,5,8,2005,4
Otu1259,5,8,2005,9
Otu1264,5,8,2005,9
Otu1317,5,8,2005,3
Otu1340,5,8,2005,2
Otu1359,5,8,2005,3
Otu1381,5,8,2005,2
Otu1411,5,8,2005,27
Otu1415,5,8,2005,3
Otu1438,5,8,2005,2
Otu1520,5,8,2005,2
Otu1590,5,8,2005,14
Otu1673,5,8,2005,14
Otu1680,5,8,2005,3
Otu1757,5,8,2005,2
Otu1824,5,8,2005,2
Otu1928,5,8,2005,2
Otu2260,5,8,2005,4
Otu2330,5,8,2005,4
Otu2591,5,8,2005,4
Otu2631,5,8,2005,3
Otu2878,5,8,2005,3
Otu2983,5,8,2005,3
Otu3028,5,8,2005,11
Otu3058,5,8,2005,7
Otu3154,5,8,2005,2
Otu3305,5,8,2005,38
Otu3382,5,8,2005,3
Otu3400,5,8,2005,2
Otu3530,5,8,2005,2
Otu3645,5,8,2005,4
Otu3658,5,8,2005,2
Otu3724,5,8,2005,13
Otu3810,5,8,2005,3
Otu3995,5,8,2005,51
Otu4195,5,8,2005,3
Otu4249,5,8,2005,8
Otu4291,5,8,2005,4
Otu4399,5,8,2005,2
Otu4584,5,8,2005,3
Otu4834,5,8,2005,2
Otu4890,5,8,2005,10
Otu4907,5,8,2005,2
Otu5076,5,8,2005,4
Otu5151,5,8,2005,4
Otu5162,5,8,2005,19
Otu5181,5,8,2005,5
Otu5284,5,8,2005,4
Otu5390,5,8,2005,7
Otu5424,5,8,2005,3
Otu5442,5,8,2005,3
Otu5490,5,8,2005,12
Otu5771,5,8,2005,7
Otu5851,5,8,2005,5
Otu5902,5,8,2005,2
Otu5945,5,8,2005,6
Otu6200,5,8,2005,3
Otu0001,5,7,2005,20
Otu0002,5,7,2005,5
Otu0005,5,7,2005,58
Otu0015,5,7,2005,14
Otu0018,5,7,2005,3
Otu0021,5,7,2005,2
Otu0042,5,7,2005,2
Otu0043,5,7,2005,2
